lead,t_s,v,v_units
I,0.0,-0.014464250765740871,mV
I,0.007055669091641903,0.0,mV
I,0.014111338183283806,-0.02928055450320244,mV
I,0.021167008206248283,-0.03898242115974426,mV
I,0.02822267636656761,0.03422003984451294,mV
I,0.03527834638953209,0.11236144602298737,mV
I,0.04233401641249657,0.1464049220085144,mV
I,0.049389686435461044,0.14393571019172668,mV
I,0.05644535273313522,0.1513444036245346,mV
I,0.0635010227560997,0.09278222173452377,mV
I,0.07055669277906418,0.024342145770788193,mV
I,0.07761236280202866,0.04639111086726189,mV
I,0.08466803282499313,0.044097933918237686,mV
I,0.09172370284795761,0.03915952518582344,mV
I,0.09877937287092209,0.05362270027399063,mV
I,0.10583503544330597,0.044097933918237686,mV
I,0.11289070546627045,0.03915952518582344,mV
I,0.11994637548923492,0.048684291541576385,mV
I,0.1270020455121994,0.05609244108200073,mV
I,0.13405771553516388,0.05362270027399063,mV
I,0.14111338555812836,0.06350112706422806,mV
I,0.14816905558109283,0.05856218561530113,mV
I,0.1552247256040573,0.03915952518582344,mV
I,0.1622803956270218,0.05362270027399063,mV
I,0.16933606564998627,0.048684291541576385,mV
I,0.17639173567295074,0.05362270027399063,mV
I,0.18344740569591522,0.044097933918237686,mV
I,0.1905030757188797,0.044097933918237686,mV
I,0.19755874574184418,0.02928055450320244,mV
I,0.20461440086364746,0.01940266042947769,mV
I,0.21167007088661194,0.01711001992225647,mV
I,0.21872574090957642,0.026811350136995316,mV
I,0.2257814109325409,0.01940266042947769,mV
I,0.23283708095550537,0.007408689707517624,mV
I,0.23989275097846985,-0.004938408732414246,mV
I,0.24694842100143433,-0.01940266042947769,mV
I,0.2540040910243988,-0.03422003984451294,mV
I,0.2610597610473633,-0.03422003984451294,mV
I,0.26811543107032776,-0.039158448576927185,mV
I,0.27517110109329224,-0.026811350136995316,mV
I,0.2822267711162567,-0.02928055450320244,mV
I,0.2892824411392212,-0.012170534580945969,mV
I,0.29633811116218567,-0.01940266042947769,mV
I,0.30339378118515015,-0.009701330214738846,mV
I,0.3104494512081146,0.024342145770788193,mV
I,0.3175051212310791,0.07567166537046432,mV
I,0.3245607912540436,0.048684291541576385,mV
I,0.33161646127700806,0.14164254069328308,mV
I,0.33867213129997253,0.21978448331356049,mV
I,0.345727801322937,0.25382742285728455,mV
I,0.3527834713459015,0.2684687674045563,mV
I,0.35983914136886597,0.2734077274799347,mV
I,0.36689481139183044,0.21219976246356964,mV
I,0.3739504814147949,0.14146651327610016,mV
I,0.3810061514377594,0.14640545845031738,mV
I,0.3880618214607239,0.1707470715045929,mV
I,0.39511749148368835,0.09278222173452377,mV
I,0.40217313170433044,0.08784274011850357,mV
I,0.4092288017272949,0.07337848842144012,mV
I,0.4162844717502594,0.07337848842144012,mV
I,0.4233401417732239,0.0732024610042572,mV
I,0.43039581179618835,0.048684291541576385,mV
I,0.43745148181915283,0.06103138625621796,mV
I,0.4445071518421173,0.06350059062242508,mV
I,0.4515628218650818,0.0707327201962471,mV
I,0.45861849188804626,0.06350059062242508,mV
I,0.46567416191101074,0.09031248092651367,mV
I,0.4727298319339752,0.08784274011850357,mV
I,0.4797855019569397,0.044097933918237686,mV
I,0.4868411719799042,0.06597033143043518,mV
I,0.49389684200286865,0.05362270027399063,mV
I,0.5009525418281555,0.04639111086726189,mV
I,0.5080081820487976,0.048684291541576385,mV
I,0.5150638818740845,0.044097933918237686,mV
I,0.5221195220947266,0.009877894073724747,mV
I,0.5291752219200134,0.021872403100132942,mV
I,0.5362308621406555,0.024342145770788193,mV
I,0.5432865023612976,0.021872403100132942,mV
I,0.5503422021865845,0.0,mV
I,0.5573978424072266,-0.004938947036862373,mV
I,0.5644535422325134,0.004939485341310501,mV
I,0.5715091824531555,0.004938947036862373,mV
I,0.5785648822784424,-0.014464250765740871,mV
I,0.5856205224990845,-0.0022926402743905783,mV
I,0.5926762223243713,-0.009877894073724747,mV
I,0.5997318625450134,5.383048460316786e-07,mV
I,0.6067875623703003,-0.01940266042947769,mV
I,0.6138432025909424,-0.012171072885394096,mV
I,0.6208989024162292,-0.07302643358707428,mV
I,0.6279545426368713,-0.06350059062242508,mV
I,0.6350102424621582,-0.05609244108200073,mV
I,0.6420658826828003,-0.024342145770788193,mV
I,0.6491215825080872,-0.026811350136995316,mV
I,0.6561772227287292,-0.004938408732414246,mV
I,0.6632329225540161,-0.043921370059251785,mV
I,0.6702885627746582,-0.03422003984451294,mV
I,0.6773442625999451,0.007408689707517624,mV
I,0.6843999028205872,0.024342145770788193,mV
I,0.691455602645874,0.021872403100132942,mV
I,0.6985112428665161,0.048684291541576385,mV
I,0.705566942691803,0.0024697426706552505,mV
I,0.7126225829124451,0.0,mV
I,0.7196782827377319,0.10495276004076004,mV
I,0.726733922958374,0.10989170521497726,mV
I,0.7337896227836609,0.10266011953353882,mV
I,0.740845263004303,0.12453252077102661,mV
I,0.7479009628295898,0.13194066286087036,mV
I,0.7549566030502319,0.097721166908741,mV
I,0.7620123028755188,0.08290433138608932,mV
I,0.7690679430961609,0.08784274011850357,mV
I,0.7761236429214478,0.08290433138608932,mV
I,0.7831792831420898,0.04162872955203056,mV
I,0.7902349829673767,0.044097933918237686,mV
I,0.7972906231880188,0.024341607466340065,mV
I,0.8043462634086609,-0.004938408732414246,mV
I,0.8114019632339478,0.014817379415035248,mV
I,0.8184576034545898,0.02928055450320244,mV
I,0.8255133032798767,0.04162872955203056,mV
I,0.8325689435005188,0.05856218561530113,mV
I,0.8396246433258057,0.04886031523346901,mV
I,0.8466802835464478,0.07796484231948853,mV
I,0.8537359833717346,0.06350112706422806,mV
I,0.8607916235923767,0.07796484231948853,mV
I,0.8678473234176636,0.06844007968902588,mV
I,0.8749029636383057,0.06350059062242508,mV
I,0.8819586634635925,0.06350059062242508,mV
I,0.8890143036842346,0.05362323671579361,mV
I,0.8960700035095215,0.009877894073724747,mV
I,0.9031256437301636,-0.002469204366207123,mV
I,0.9101813435554504,-0.014464250765740871,mV
I,0.9172369837760925,-0.012171072885394096,mV
I,0.9242926836013794,-0.024342145770788193,mV
I,0.9313483238220215,-0.039158448576927185,mV
I,0.9384040236473083,-0.043744806200265884,mV
I,0.9454596638679504,-0.05362323671579361,mV
I,0.9525153636932373,-0.06844007968902588,mV
I,0.9595710039138794,-0.05856218561530113,mV
I,0.9666267037391663,-0.05362270027399063,mV
I,0.9736823439598083,-0.05856218561530113,mV
I,0.9807380437850952,-0.08290433138608932,mV
I,0.9877936840057373,-0.08784274011850357,mV
I,0.9948493838310242,-0.08290433138608932,mV
I,1.001905083656311,-0.07302643358707428,mV
I,1.0089607238769531,-0.07073325663805008,mV
I,1.0160163640975952,-0.06350059062242508,mV
I,1.0230720043182373,-0.06350112706422806,mV
I,1.030127763748169,-0.07302643358707428,mV
I,1.037183403968811,-0.06350059062242508,mV
I,1.0442390441894531,-0.043744806200265884,mV
I,1.0512946844100952,-0.06103138625621796,mV
I,1.0583504438400269,-0.01940266042947769,mV
I,1.065406084060669,0.004938947036862373,mV
I,1.072461724281311,-0.02928055450320244,mV
I,1.0795173645019531,-0.03157373145222664,mV
I,1.0865730047225952,0.10724647343158722,mV
I,1.0936287641525269,0.13899676501750946,mV
I,1.100684404373169,0.1464049220085144,mV
I,1.107740044593811,0.14146651327610016,mV
I,1.1147956848144531,0.08784274011850357,mV
I,1.1218514442443848,0.026811350136995316,mV
I,1.1289070844650269,0.014817379415035248,mV
I,1.135962724685669,0.009877894073724747,mV
I,1.143018364906311,0.021872403100132942,mV
I,1.1500741243362427,0.024342145770788193,mV
I,1.1571297645568848,0.026811350136995316,mV
I,1.1641854047775269,0.009877894073724747,mV
I,1.171241044998169,0.007408689707517624,mV
I,1.1782968044281006,0.009877894073724747,mV
I,1.1853524446487427,0.026811350136995316,mV
I,1.1924080848693848,0.024342145770788193,mV
I,1.1994637250900269,0.024341607466340065,mV
I,1.2065194845199585,0.03422003984451294,mV
I,1.2135751247406006,0.04162872955203056,mV
